id,experiences_offered,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10080,none,30899,Rami,2009-08-10,"Vancouver, British Columbia, Canada",within a few hours,85%,N/A,f,Coal Harbour,31,31,t,t,"Vancouver, BC, Canada",Coal Harbour,Downtown,,Vancouver,BC,V6E 2P4,Vancouver,"Vancouver, Canada",CA,Canada,49.28771582,-123.1211027,t,Condominium,Entire home/apt,6,2,2,4,Real Bed,1200,295.00,,4750.00,0.00,195.00,1,$0.00 ,60,1124,60,60,1124,1124,60,1124,today,t,0,0,0,161,2019-02-06,16,0,2011-11-15,2017-02-26,93,9,9,10,9,10,9,t,18-476608,f,f,strict_14_with_grace_period,f,f,31,31,0,0,0.18
11400,none,42305,Jaynne,2009-09-30,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Riley Park,1,1,t,t,"Vancouver, BC, Canada",Riley Park,Riley Park,,Vancouver,BC,V5Y,Vancouver,"Vancouver, Canada",CA,Canada,49.25375607,-123.112659,t,House,Private room,1,1,1,1,Real Bed,0,60.00,385.00,1400.00,,,1,$0.00 ,364,364,364,364,364,364,364,364,10 months ago,t,30,60,90,365,2019-02-06,70,0,2010-02-18,2016-06-14,92,9,10,10,10,10,9,t,,f,f,strict_14_with_grace_period,t,t,1,0,1,0,0.64
13188,none,51466,Family Guns,2009-11-04,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Riley Park,1,1,t,t,"Vancouver, BC, Canada",Riley Park,Riley Park,,Vancouver,BC,V5Y,Vancouver,"Vancouver, Canada",CA,Canada,49.24577007,-123.1051582,t,Apartment,Entire home/apt,4,1,0,2,Real Bed,,119.00,750.00,2500.00,0.00,40.00,1,$0.00 ,2,1125,2,2,1125,1125,2,1125,5 days ago,t,23,53,77,269,2019-02-06,165,24,2010-02-21,2019-01-07,96,10,10,10,10,10,10,t,19-162013,t,f,moderate,f,f,1,1,0,0,1.51
13357,none,52118,Liliana,2009-11-07,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,f,Chinatown,4,4,t,t,"Vancouver, BC, Canada",Chinatown,Downtown Eastside,,Vancouver,BC,V6B,Vancouver,"Vancouver, Canada",CA,Canada,49.27954755,-123.1054572,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,,151.00,976.00,2887.00,787.00,197.00,2,$33.00 ,30,30,30,30,30,30,30,30,today,t,27,51,51,210,2019-02-06,56,3,2010-02-26,2018-08-31,84,8,9,8,8,8,8,t,,f,f,strict_14_with_grace_period,t,t,2,2,0,0,0.51
13358,none,52116,Lynn,2009-11-07,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Downtown Vancouver,1,1,t,f,"Vancouver, BC, Canada",Downtown Vancouver,West End,,Vancouver,BC,V6Z 2S1,Vancouver,"Vancouver, Canada",CA,Canada,49.28208989,-123.1251498,t,Condominium,Entire home/apt,2,1,1,1,Real Bed,0,119.00,750.00,,300.00,65.00,1,$0.00 ,1,60,1,1,60,60,1,60,4 weeks ago,t,5,8,20,21,2019-02-06,384,77,2010-06-22,2019-01-21,94,10,10,10,10,10,9,t,18-611603,f,f,strict_14_with_grace_period,f,t,1,1,0,0,3.65
13490,none,52467,Iris,2009-11-08,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,t,Kensington-Cedar Cottage,4,4,t,f,"Vancouver, BC, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,,Vancouver,BC,V5N,Vancouver,"Vancouver, Canada",CA,Canada,49.2555008,-123.0669555,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,,146.00,800.00,2400.00,0.00,40.00,1,$0.00 ,30,90,30,30,90,90,30,90,5 weeks ago,t,7,37,53,328,2019-02-06,82,10,2011-06-02,2018-09-30,98,10,10,10,10,9,10,t,,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.88
14267,none,56030,Peter & Alison,2009-11-20,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Kensington-Cedar Cottage,1,1,t,f,"Vancouver, BC, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,,Vancouver,BC,V5V1Y8,Vancouver,"Vancouver, Canada",CA,Canada,49.2497391,-123.0810768,t,House,Entire home/apt,4,1,1,2,Real Bed,650,140.00,770.00,2000.00,0.00,60.00,2,$15.00 ,7,60,7,7,60,60,7,60,today,t,20,28,28,28,2019-02-06,31,1,2010-10-03,2018-07-08,95,10,9,10,9,10,9,t,18-554072,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.31
14508,none,57043,Linda,2009-11-24,"Vancouver, British Columbia, Canada",a few days or more,25%,N/A,f,Downtown Vancouver,2,2,t,f,"Vancouver, BC, Canada",Downtown Vancouver,Downtown,,Vancouver,BC,V6Z,Vancouver,"Vancouver, Canada",CA,Canada,49.27419496,-123.1295468,t,Apartment,Entire home/apt,5,2,2,2,Real Bed,,140.00,,3400.00,1000.00,,1,$0.00 ,90,365,90,90,365,365,90,365,2 months ago,t,30,60,90,365,2019-02-06,31,0,2010-02-23,2013-07-13,99,9,10,9,10,10,10,t,,f,f,moderate,f,f,1,1,0,0,0.28
16254,none,63238,Jason,2009-12-15,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Hastings-Sunrise,1,1,t,f,"Vancouver, BC, Canada",Hastings-Sunrise,Hastings-Sunrise,,Vancouver,BC,V5K,Vancouver,"Vancouver, Canada",CA,Canada,49.27733617,-123.0415183,t,House,Private room,4,1,2,3,Real Bed,,220.00,1750.00,6000.00,400.00,0.00,1,$0.00 ,3,31,3,3,31,31,3,31,5 months ago,t,0,0,0,139,2019-02-06,3,3,2018-08-04,2018-08-26,93,9,9,10,10,10,9,t,19-162421,t,f,strict_14_with_grace_period,f,f,1,0,1,0,0.48
16611,none,58512,Q,2009-11-29,CA,N/A,N/A,N/A,f,Commercial Drive,12,12,t,f,"Vancouver, BC, Canada",Commercial Drive,Grandview-Woodland,,Vancouver,BC,V5N 1T6,Vancouver,"Vancouver, Canada",CA,Canada,49.26382267,-123.0719409,t,House,Entire home/apt,8,1,3,4,Real Bed,,1201.00,,,0.00,0.00,2,$54.00 ,31,1125,31,31,1125,1125,31,1125,3 months ago,t,7,37,67,92,2019-02-06,3,2,2017-12-24,2018-02-16,80,8,6,8,9,10,7,t,,f,f,strict_14_with_grace_period,f,f,9,4,4,1,0.22
